nickname,talk
삥삥,악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......
벚꽃엔딩,기억은 안나는데 출생년도를 기입해보세요
kaki****,아짜증나ㅠㅜ왜 안돼ㅠㅠㅠ
하나,시즌2 시즌2 가자  아직도 센조 캐릭터 파괴된건 참아지지 않아 마피아가 총도 없이 가고 총가진 사람 앞에서 등보이고 가려하고 구할수 있는 상황에서도 아무것도 안하고 그부분만큼은 진짜 연출 디테일 빵점 물론 감독님 잘해오셨죠 알죠 작가님 감독님 시즌2 바보센조 만든거 시즌2로 돌려주세요 시즌2
벚꽃엔딩,주민증 생일입니다
삥삥,엄태구셔서
삥삥,오우...저희 체육쌤 이름이 엄테구셔서 보고 깜짝 놀랐네여...ㅋㅋㅋㅋ
kaki****,님들 생일 어떻게 했어요?
rlaw****,남 여 인기상은  여자는영~  ㅅ ㅎ ㅅ 힘내고!남자 인기상은 넘 차이가!  압도적!ㅠㅠ여러분  투표 투표!  실천 실천! 지발! ㅠㅠ
까꿍겅쥬,메이킹도 이제 끝인가요ㅠㅠ막회가벌써이틀이지났는데도 여운이 가시질않네요..우짜..금가즈랑 센차넘보고파요..재방송만보고또보고..
kaki****,난 왜안돼ㅠㅠ
삥삥,로그인 했는데 나이 안되서 강제로 비공계 된건데요
kaki****,방법이라도...
삥삥,전 비공계정을 제가 하고 싶어서 한 게 아니라
민쭈니,아휴 가입해버렸네요 ㅋㅋㅋ
안미선,회차가 초반보다 중반 후반으로 갈때 더 재미있어지는 드라마 캐릭터들이 다 살아있네요ㅎㅎ
kaki****,비공계정 어떻게 했어요?ㅜ
삥삥,전 카톡으로 했는데
삥삥,뭐 원래 백상예술대상 퉆 끝나면 지울거라ㅋㅋㅋ
kaki****,어떻게했어요?
삥삥,전 나이 안돼서 비공계정 됐어여..
벚꽃엔딩,카톡으로 가입하기 하세요
삥삥,시즌2.......갑시다 제발ㅠㅠ
kaki****,생일부터 막혀요ㅠ
삥삥,20회 메이킹도 곧 있으면 나오겠죠
벚꽃엔딩,투표해달라고
kwo,20회 메이킹이요
벚꽃엔딩,제가 영어로 올렸어요
삥삥,빈센조 메이킹은 유튜브에 있어요
kwo,빈센조 메이킹 언제 뜨나요?
sun,이거 어떻게 투표하나요??
삥삥,백상예술대상을 송중기님이 타시면 시즌2 할 확률도 좀 생기겠죠 아마?!
찐빈바 유리,송중기 배우님 최우수 가즈아ㅏㅏ
벚꽃엔딩,가족들한테 공유해서 여러번 들가면 되겠네요
삥삥,아마도 그럴 확률이 쫌 되지 않을까여...?
하나,투표는 했는데 백상넘들 틱톡으로 하네요 정보빼먹는다는 중국꺼 하필 틱톡이야 어쩔수없죠 투표 끝날때까지만 깔아두고 끝나며 지움
tisp****,송중기배우님 인스타에 외국인 팬 진짜 많던데 백상예술 투표해달라고 누가좀 써주세용 ㅠㅠ
삥삥,언니랑 나이차가 많이 나서...ㅋㅋㅋ..
sun,근데용... 투표 1등하면 빈센조 시즌2 하나요??
삥삥,호우.......전 13살이지만 언니찬스를 씁니다
kaki****,가입 어떻게 하죠..?
삥삥,감사요ㅗ감이래 수상소감
Flower,"급할땐, 신랑찬스가 최고. ㅎㅎㅎ.신랑에게도 공유했더니, 바로 송중기배우. 클릭. ㅎ❤"
삥삥,백상예술대상 송중기님이 받으실 수 있게 해서 감상소감도 보고!!!시즌2 갑시다!!!
kaki****,저 가입이 안돼요ㅠㅠ
벚꽃엔딩,백상들가면 설치창 나옵니다. 안되면 구글플레이에서 설치하세요
tisp****,상도 받고 인터뷰도 하고 얼굴 또 보지 않습니까~ㅎㅎㅎ최우수상 가즈아~~~
삥삥,저는 틱톡 금지였는데...이거 하려고 몰래 깔았습니다..
민쭈니,아 나 틱톡 거부인데 어쩔 ㅠㅠ
삥삥,차이가 거 넘 심한거 아입니까ㅠㅠ
벚꽃엔딩,나도 틱톡 안쓰는데 깔았어요
민쭈니,송중기는 대단 전여빈 발견 곽동연 와우 옥택연 괜춘 이었다
삥삥,흐어ㅠㅠ
삥삥,김선호 - 148.66K송중기 - 97.43K
연지의 사생활,하이고...근데 왜 하필 틱톡으로...그 논란많은 앱을 ㅠ
벚꽃엔딩,백상인기상투표하기 1.네이버검색창에서 백상영화제클릭 2. 백상홈피 오른쪽상단 전체메뉴클릭 '투표하기' 3.아래쭉 내려가면 틱톡투표클릭 4.틱톡 설치. 틱톡투표창 최하단에 공유클릭해 카톡등 공유해 들가면 하루 5번씩 투표가능
삥삥,김선호님이 1등 달리고 계시네여....ㅠㅠ송중기님이 2등 달리고 있으니 열심히 퉆해봅시다!!!
Flower,카톡. 공유해서 친구랑 공유도 해봤어요.^^~히히히.
벚꽃엔딩,백상에서 틱톡으로 연계되어있어요
연지의 사생활,투표 틱톡 말고는 안되나요ㅠㅠ
Flower,"투표할수있게 틱톡 설치뜨면, 클릭하고,ᆢ송중기배우에게 두개 클릭했어요.메인하고, 남자 인기상 같아요."
kaki****,감사합니당
벚꽃엔딩,틱톡 설치하시고 카톡등으로 공유하셔서 들어가면 하루 5표까지 투표할수 있어요
kaki****,근데 틱톡은 왜...
sun,근데 백상예술대상에서 송중기님이 1등 하시면 빈센조 시즌2 하나요??
Flower,네이버에 백상치면 딱 떠요.
kaki****,바로간다투표 딱기다려
산다는건,송중기 옥택연 곽동연 세남자 연기 비주얼 짱 이었어요 송중기는 빛나는 솜털피부 순둥이택연은 연기변신 대단했고 곽동연도 멋졌어
삥삥,https://www.baeksangawards.co.kr/vote백상예술대상 송중기님 퉆 부탁드려요!!틱톡 깔아야 가능합니당
HISTORY,저도 좀 알려줘요ㅜㅜ
kaki****,투표어떻버하죠..?ㅜ
짱돌,토토로님  감사해요~~저도 헤에나오지 못하는 센차커플이네요~ㅋ
kaki****,??어떻게 해요 그거???
산다는건,잘가다가 마지막회가 좀 아쉬웠다 드라마는 왜 끝에 실망시키는지 한서는 왜그렇게 죽이고 방치하냐고 거기서부터 개실망
Flower,오늘도 백상예술대상에 울 송중기배우님 투표하러 가요. ❤  전 투표완료. ㅎㅎㅎ.
kaki****,시즌2나와라..제발
삥삥,70부작정도로 가봅시ㄷ..
삥삥,왜 20부작 인가요ㅠㅠㅠㅠ
삥삥,빈바였던 저에게 종영이 다가왔을 땐 정말 세상 다 잃은 기분이었은데.....어제도 하루종일 빈센조 유튭으로 보고....오늘은 화장실에서도 보고 있네요...종영이 됐는데도 프로그램 홈 와서 댓 달고 있고...벌써 빈손실 온 거 같아요..
kaki****,무료요..
kaki****,판도라티비에 빈센조 다시보기 있어요..
dlwl****,오늘도 우리 빈변 3표 투표했습니다~~
꿈꾸는사람,빈센조 다시 보기 하려고. 넷플 계정 개설 해야하나?   비번 잃어버려서 넷플 안보는데 몇달씩 쌩돈 냈는데.  이번에도 빈센조땜에. 넷플릭스한테. 내 피같은 돈을 내야하나?
삥삥,빈센조.....이 드라마 그냥 일일드라마로 하자고 하고 싶지만....이런 고퀄에 럽라인 확실한 드라마가 일일은 될 수 없겠죠....매주 주말마다 저녁 9시 15분경을 기다리며 살았는데 이제 무슨 낙으로 살지ㅠㅠ
totoro,전여빈님 매력이 넘 많은 배우라는걸 이 작품을 통해서 알게되어 넘 행복합니다.최고의 베스트 커플입니다.♥♥♥ 송중기♥♥♥♥♥전여빈♥♥♥♥♥♥
totoro,공허함을 채우기위해 넷플과함께 1회부터 시작중입니다.얼마나 더 채워야 할지는 저도 모르겠지만.. 빈바님들도 무척이나 힘들거라 생각하네요..빈센조의 조간신문거리를 찾아보는게 일상이된 오늘도 센차커플의 호흡을 느꼈던만큼 당사자인 송중기님께서도 이런말씀을 하셨네요..아래와 같이
삥삥,https://www.baeksangawards.co.kr/vote백상예술대상 송중기 퉆해주세요!틱톡 깔아야 퉆 가능합니당
rlaw****,울송중기님! 백상의 행운이 있기을!!🍀 투표하려! 모두모두고고~~/~~ 싱!.....
ma,몇번 보지도 못했는데 벌써 끝났어요ㅠㅠㅠ제발 시즌2해주세요
삥삥,아니 그나저나 백상예술대상도 센조가 타야 하지만 시즌2는요...?할거죠 감독님...?
삥삥,흐어ㅠㅠ빈센조 백상예술대상 2등이라니ㅠㅠ1등 가자!!!
찐빈바 콘실이,반드시 댓가를 치르게 할겁니다 <<요즘 유행이에여
rlaw****,새 얼굴 발견 전여빈 님의 앞으로 승승장구 을바라 봅나다!!!...
rlaw****,코로나 댐시 시국이 우울하고 제안도 많고 그런현실을보내는데 드라마 빈센조 는 나에게는 힐링이고 비타민같은 존재 였슴다 그동안 행복했고 즐거워고 고맙슴다..
삥삥,오 마이.....센차...
히토미,한서랑 친해졌다고는해도 유가족 죽이는데도 다 한서가 일조했고 사실 자기행동 반성보다는 지살길 찾으려고 이쪽으로 붙었고 그중에 감명받아 회계한건데 내여자부터 챙기지 뭐 거기서 내팽개치고 한서 구하는것도 말안되지...뭔사랑놀음...누가보면  차영이 구하려고 한서 거기다 던진줄 알겠네
yeji****,빈센조 끝났는데... 네이버에 자꾸 검색해서 이런 톡을 남기고... ㅡㅡㅜㅜ 2화 해주시면 안되나요??????? 그길에 백상예술?? 알게 되서 투표하러 갑니다.
yeji****,그...  전당포 사장님도 칼 맞고 쓰러져 죽는 것 같은... 그 씬도... 전당포 사장님을 위한 씬... 아닐까... 생각했어요...
yeji****,그러게요... 저도 그 장면이 살짝 이해가 안갔는데... 장한서가 장렬하게 죽기 위한? 설정씬 같다는 생각이 들었어요.
ASTONISHING,아무리 착해졌다고 한들 친한 동생사이도 아니고 악마동생인데좋아하는 여자가 당연 먼저 눈에 들어오고 여자 안전을 최선으로 생각하겠지...남자들만 있는 상황하고는 틀리지
이름,ㅇ아니 도대체 빈센저는 왜 지 여자만 챙기냐고 한서는 배도 맞고 팔도 맞고도 싸우는데 썅 가서 도와줘야지 우리 한서 이렇게 보내니 ㄱㅐ빡치네 우리 짱ㅎㅏㄴ서 살려내
hyel****,센차커플 보고싶다ㅠㅠㅠ🤎
독스,ㅁㅊ 빈센조 연애놀음하다 한서 죽은 거였음? ㅈㄴ 어깨맞은 지 여자 챙긴다고 배빵맞은 애는..하 내 최애를 이리 보내다니 ㅈ같네 ㅋㅋㅋㅋㅋ
하음,https://www.baeksangawards.co.kr/vote여기서 송중기 한번씩 투표 부탁드려요
이지윤,💓 백상예술대회 송중기 투표해주세용 💓
벚꽃엔딩,송중기님 현재2위 매일 투표해주삼~~^^
kaim****,우리한서는좀살려주시지ㅜㅜ이제 혜리 장기용드라마ㄱㄱ빈센조 넘고마웠어요 유쾌통쾌상쾌!
벚꽃엔딩,백상인기상투표하기1.네이버검색창에서 백상영화제클릭2. 백상홈피 오른쪽상단 전체메뉴클릭 '투표하기'3.아래쭉  내려가면 틱톡투표클릭4.틱톡 설치. 틱톡투표창 오른쪽 사이드에 공유클릭해 카톡등 공유해 들가면  하루 5번씩 투표가능
루씰,빡머가린가 그순간에 밧줄을 풀고있네 ㅋㅋ
신바람그놈,결국돈이최고다 빈센조 금없었으면 19화에 이탈리아 넘어갔을거고 거기서 게임셋어찌저찌 전재산털어서 돈으로막고 돌아와서 19화초반 막았어도 최명희 장안석 죽이고 튄뒤에 섬못삼 까사노패밀리 멸망 한국못돌아옴 결론 돈이 최고란걸 강조한 드라마ㅇㅇ중국 삼합회가 짱임 ㅇㅇ마피아도 삼합회 금먹고 살음ㅇㅇ
하음,https://www.baeksangawards.co.kr/vote여기서 센조 툽 한번씩 해줍시다 ‘
rye,우리 매일 몇번씩 누릅시다
왕자,ㅇㅋ
해밀,네 틱톡깔아야 투표 가능합니다 ~
왕자,까시노 페밀리여
왕자,송중기 투표ㄱ ㄱ
왕자,이제 그 다음 뭐 봐야 돼ㅠㅠㅠ
rye,전 송중기님 투표 완료!
엔젤,백상 틱톡을 깔아야하나요?
해밀,여기 가면 백상 투표 설명 있어요~~ https://www.baeksangawards.co.kr/vote
ksdk****,송=>송년의 밤이 어느덧 중반을 지나가고         있습니다.중=>중간에 지루 하시더라도 자리를 비우시면          안됩니다. 자~ 기다리고 기다리던 우리가기=>기억해야 하는 배우 우리에게 감동을 주는         명품 배우 송중기 배우님을 모십니다.        모두 일어나 기립 박수 부탁드립니다.
이지윤,백상 투표 어떻게해여??
ksdk****,송=>송년의 밤이 어느덧 중반을 지나가고         있습니다.중=>중간에 지루 하시더라도 자리를 비우시면          안됩니다. 자~ 기다리고 기다리던 우리가기=>기억해야 하는 배우 우리에게 감동을 주는         명품 배우 송중기 배우님을 모십니다.        모두 일어나 기립 박수 부탁드립니다.
민트쇼콜라,한서 살짝만 다치게해주시죠 왜 ㅠㅠ
키미,한서 꼭 죽여야만 했냐아ㅏㅏㅏㅠㅠ...
fors****,우리 송배우님 백상 투표해요!!열심히 해서 주말 내내 행복을 줬으니 이정도는 해야죠 ㅎㅎ 틱톡 앱에서 투표할 수 있어요
라니언니,작가님 제발 시즌2 해주세요 제발요 ㅜㅜㅜ너무 좋은작품이기 때문이예요 ㅜㅜㅜㅜ시즌2 제발제발요 부탁드려요 ㅜㅜㅜ
삥삥,악당은 사랑도 독하게 하니까...악당은 사랑도 독하게 하니까...악당은 사랑도 독하게 하니까...악당은 사랑도 독하게 하니까...악당은 사랑도 독하게 하니까...악당은 사랑도 독하게 하니까...
삥삥,ㅠㅠㅠㅠㅠㅠ지푸라기 섬에서....갑시다..
낭만닥터김사부2,시즌2 제발요ㅠㅠㅠㅠ
낭만닥터김사부2,그럼 이탈리아에서 하면 돼잖아요ㅠㅠ
삥삥,시즌2 갑시다 제작진분들...!!!!!!아 근데 시즌2는 간다면 스토리가 상상이 안되네 수교기념일에만 송중기 올 수 있는데...?
삥삥,ㅠㅠ 그래도 16부작이 아니었어서 다행이네요...ㅠㅠ
낭만닥터김사부2,빈센조만큼 재밌던 드라마 없었던거같아요😭😭 이제 주말 어케 버텨요ㅠㅠ
삥삥,이제 주말을 무슨 낙으로 기다리냐구요..
삥삥,이제 센차를 볼 수 없다뇨ㅠㅠ시청자들의 반응을 봐서 시즌2 갈거죠 제작진분들...? 아니면 그냥 일일드라마처럼 70회정도까지는 합시다아....펜하처럼 시즌3도 갑시다!
낭만닥터김사부2,"빈센조 넘 재밌었는데ㅠㅠ.. 한서엔딩은 쫌 그랬어요.. 그래두 작가님, 감독님들하고 배우들분도 너무 고생하셨습니다!"
김미화,빈센조~  연기 진짜잘하고 멋있더라~ 조연배우들도 연기짱~ 캐릭터 짱~ ㅋㅋㅋ끝나니 너무아쉽습니당...ㅜㅜ 이제 무슨 낙으로....
벚꽃엔딩,마지막 2화는 한서를 위한 작가님의 선물
fors****,빈센조 제일 기억에 남는 장면- 람보르기니 타고 법원 출근- 미술관 키스신- 별장 액션신보면서 전체적으로 B급 감성이라 중간중간 어이 없는 장면 나올때도 그려려니 했는데 마지막 2화는 참.....지금껏 쌓아올린 빈센조 이미지를 한방에 무너뜨림 그리고 빌런에게 복수하는 것도 시청자도 같이 분노에 휩싸여 있을 때(센조 엄마 죽었을때) 죽여야 통쾌한데 너무 질질 끌다가 감정 식은 상태에서 잔인하게 죽이니까 반감만 생김 암튼 마지막이 넘 아쉬워서 애청자로서 안타까워용 송배우님 전배우님 주말 내내 넘 행복했어요ㅜㅜㅜ
찐빈바 콘실이,마피아 보스의 여자 차영 오히려 서로 멀리있는게 좋을지도 소중한사람 내여자는 건들지 못할테니 ㅋㅋ
벚꽃엔딩,틱톡링크공유하면 5번까지 투표할수있어요
sopoong05,"빈센조 팀들 배우들, 다시한번 감사드립니다. 열혈사제도 너무 속시원히 잘 봤는데, 겉은 작가였군요. 멋진 작가님 또 재밌고 시원한 드라마 부탁드립니다!"
까미까미,https://activity.tiktok.com/magic/eco/runtime/release/607f9740157acd30d4637a44?appType=tiktok
까미까미,https://www.baeksangawards.co.kr/vote틱톡어플깔고 매일 3번씩 10일까지 가능해요
까미까미,투표 완료 ♡
코드네임K 7773,그러게요
yspn****,백상투표 하루에 세번씩 할수있네요
kje,시청률 무슨일..? 왜케 많이 올랐어.. 진짜 행복하네
dfd,진짜 재미있게 봤는데 ㅠㅠ
지니,빈센조 재미있게 봤다면 열혈사제 강추! 같은 작가이고 개인적으로는 빈센조보다 재미있음
하림,곧있음 슬의랑 펜트하긴하는데 빈센조만큼 재밌는건 없어ㅠ
솜,clean boat cleaned it
배경선,정주행중인데 끝나버림...
anu,이제 주말의 행복함이 반은 떨어진것 같아요...ㅜㅜ빈센조 보는 낙으로 윌~금 살았는데...😭😭
mygo****,빈센조의 허전함을 이젠 무엇으로 채워야 할까요 ㅠㅠ
에렌 와이프,끝났다 눈물나온다
myki****,송중기앓이ㅠㅠ 연기가 더 성숙해진 것 같아요! 너무 잼있게 봤어요!
블랙캣츠,와 나 승리자다. 초반만 보다가 연출수준이 저급에다가.보나마나 질질끌고 돌려먹기 연출 할거 같아서. 마지막회 나오면 후반만 봐야지 했는데. 역시나 후반만 보는데 아직도 서로 싸우더라. 계속 본 시청자를 도대체 어케 본거냐? 후반만 봤는데도 이해하는데 전혀 무리없었다. 그나저나 고증이랑 연출 후진거 개 에바아냐? 한국 드라마가 많이 발전하고 고쳐진줄 알았는데 이런 예전 방식 연출을 아직도 사용하다니..
이혜란,"다른 배우들은 캐리터에 녹는데 김여진배우의 새는 발음, 목소리, 어색한 걸음 보는 내내 영상에 집중이 안됫네요. 갑자기 급이 떨어지는 느낌 김태리나 좀더 딕션과 목소리가 좋고, 연기력이 더 돋보이는 배우가 햇다면 송중기의 연기몰입과 탄탄한 조연도 부각이 됫을거 같습니다. 김여진은 멜로나 코메디파트, 진지한 파트 모두 너무 어색햇어요."
레몬홍차,"너무아쉬워요ㅜ 송중기 역시 멋있어요~ 전여빈,곽동연배우님 재발견^^♡"
달끝,이번 드라마 넘 잼있게 봤습니다
Jin Eun,전여빈과 곽동연 배우의 재발견
stat****,아휴 그냥 송중기가 좋습니다...그냥 좋습니다...매주 보고 싶어요...한해 한편은 찍읍시다...
0219****,처음부터 끝까지 짜임새가 너무 좋았어요. 등장인물도 입체적이고 : ) 끝나서 너무 아쉽네요. 빈센조 덕분에 주말이  늘 기다려졌어요. 모두 수고하셨어요. 감사합니다💕
솔솔,엄마죽겼을땐 경호원도 다죽이고 들어가더만왜 이번엔 다 안죽이고 들어가나 싶었더니 모여있는경호원들 잘못건드렸다가안에 있는 사람들을 죽일까봐 그런건가?그렇다치더라도 아무것도 안들고 들어가는게 조금이해안됬고 홍차영 끈푸는것보다 한서랑 맞서싸워야지끈이나풀고있고..한서 죽게 나둔것도 이해안됬음그리고 금은 홍차영은 왜안줌?적어도 싸우다가 죽을뻔한사람들은 조금은 줘야지 피아노쌤 빼곤 혼자 다가져감?이것도 좀 이해안갔음 이기적인 악당이 맞다는걸 보여줄려는 건가?
tnal****,빈센조 ost 넘 분위기 있고 좋아요~♡
8층조두순딸년,8층벌레범죄자 이사와서 6년동안 집밖에 거의 나온일없고  집구석에서 밤낮없이 범죄만 저지르고 살음. 여러분 세상에는 인간의 탈을 썼지만 벌레와 다를바없는 이런 짐승도 산답니다.
8층조두순딸년,유영철도 지새끼는 위한다드니 8층범죄자벌레도 지딸년 욕하는건 듣기싫은감. 니딸을 범죄자로 키운건 넌데? 넌 니딸을 위해서도 뒤지는게 옳아
흐재,내  최고의 인생드라마... 앞으로도 이런 짜릿한 쾌감을 느킬수 있는 드라마는 없을듯.. 그리고 빈센조라는 표현하기 힘든 캐릭터를 물만난듯 갓벽하게 연기한 갓중기느님한테 경의를 표한다.. 진짜 연기신이 따로 없을만큼 다양한 연기를 보여주셔서 땡큐 땡큐다
sea,Session 2 주세요 🙏🙏🙏
8층조두순딸년,그래서 세상떳떳하고 클리어하고 맑고 파란 하늘을 바라보았을때 있는 그대로 볼줄알고 그것이 주는 상쾌함과 아름다움을 마음 깊이 느끼고 즐길줄 아는 내가 훨 우월한 위치에 있는거고 (그냥 평범한 사람이 즐기는 삶 감정들이지). 벌레야 알아들어먹니
8층조두순딸년,8층범죄자는 보통인간이 누리는 감정을 흉내는 내지만 이해를 못함 . 범죄를 저질러야 행복하다고 느끼는 감정이 왜곡된 일그러진 정신체계임. 스스로 감정과 영혼이 찌그러져있어도 그것조차 못느끼는 정신병자지. 근데 굉장히 악해 사람보다는 짐승에 가까운 사고체계를 갖고있음
8층조두순딸년,확실한건 난 8층사패성 정신병자 범죄자들보다는 행복하다는거야 난 세상 떳떳하고 남들과 진심으로 감정을 공유할 줄알고 공유의 감정에서 사랑 배려를 느낄줄도 알고  거기서오는 만족감 세상이 아름다움도 느낄줄 안다는거야. 범죄자 가족과는 다른 차원에서 산다는거지
8층조두순딸년,8층범죄자애미의 범죄유전자가 유전됬다는게 맞는말같기도 ㅋ
영니,불만들이 많아; 재밋어서 끝난게 아쉽구만
8층조두순딸년,어떻게보면 애비보고 범죄만 보고 살아와서  범죄른 저지르는 인생이 정상이라고 느끼는 정신병자라고 봐야할수도.사패성 정신병자
8층조두순딸년,조두순은 딸이 없고  이영학은 딸이 있지 이영학딸이 8층 범죄자 딸보다 백배는 나아.걔는 어려서 어쩔수없이 시키는대로 살수밖에없지.8층범죄자 딸은 나이도 많은게 범죄를 즐기는 바퀴벌레보다 못한 벌레임
니멋대로,김과장 : 한 기업을 박살냄열혈사제 : 한 도시를 박살냄빈센조 : 한 국가를 박살냄다음 작품으로 갈 수록 스케일이 커지는 느낌 ㅋㅋㅋㅋ
dmlq****,qqq는 불만이 저리 많은데 20화까지 다봤네 볼 거 다보고 감동도 재미도 없다네 ㅋㅋㅋㅋㅋ 순 모순덩어리
dmlq****,홍차영이 먼저 총을 맞았거나 그랬으면 홍차영을 먼저 챙길 수 있는데 장한서 팔에 총 맞으면서 몸싸움 하고 있으면 도와서 장한석부터 제압해야지 이 때까지 말도 안되게 죽을뻔한 고비도 다 넘은 주인공이 마지막에 이렇게 발암 유발하는게 너무 개연성없네
땡,장한서는 죽어야하는데 콘샐러드 앞에서 그냥 죽을 수는 없으니 홍차영을 데리고 와서 촬영한듯 ㅇㅇ
dmlq****,어우 19화 보는 중인데 아무리 극적인 연출을 위해서라지만 장한서가 목숨걸고 뛰어들었으면 홍차영 풀어주기전에 장한서 같이 줘패고 총부터 뺏어야지 홍차영 밧줄 풀어주고있네 무슨 ㅋㅋㅋㅋㅋㅋㅋㅋ 엄마 죽여서 복수하러갈 땐 총들고 가서 경호원들도 다 패더만 이번엔 무슨 아무것도 안들고가서 암만 유발시켜
태리야끼,"개인적인 생각이지만, 시즌 2는 제작되지 않을 것 같아요~ 악당(바벨 그룹)을 맞서 싸우는 것으로 1화부터 20화까지 진행되었는데 시즌 2도 그 방식으로 계속 고수해나간다면 지루해질 수 있고 마땅히 찾을만한 소재도 없으니까요. 그래서 저는 마음속 한켠에 추억의 앨범처럼 저장해 놓으려 합니다~"
태리야끼,주연 배우와 조연 배우분들의 환상적인 조합이 시너지가 발휘한 최고의 드라마. 스태프분들 배우분들 그동안 빈센조 드라마를 제작해 주시고 참여해 주셔서 정말 감사했습니다. 푹 쉬세요!
느님,송중기님 진짜 연기잘하셨어요♡눈빛까지~~~얼른 또 얼굴보여주세요^^
다이노스,속이 시원한 결말 고맙습니다 답답한 드라마 보다가 이런거 봐줘야 속이 시원하고 재미가 있지 굿!!!다시 보기 넷플릭스 시지프스랑 비슷하게 제작비 쓴거 같은데 너무 잘만들어서 ㅎㅎㅎ 회사에서도 넘버원 드라마 라고 아주 칭찬이 자자해요 2번정도만 더 다시 보기
두아이엄마,빈센조 원킬  제작비 어디에 썼어요???  삼선 해물짬뽕 인줄 알았는데 그냥짬뽕이였네요  이쉬움이 아니라 속은기분 ㅠㅠ  빈센조제작비 반도 안 들었던 열혈사제가 조용한 힘이  있었던것 같네요  빈센조2를 기대하시는분은 송중기배우 때문인것 같은데 진심 배우를 위한다면 다른 멋진드라마를 기대하심이 좋을것 같네요 빈센조2에 또 나오면  오히려 송중기 이미지에 치명타 예상됩니다 배우들이 아까운 드라마 였어요  제작진들 반성하세요 돈이 다가 아니에요
sexy****,한서 살려줘ㅜㅠ
gksk****,이제 주말에 무슨잼으로 사나요 ㅠㅠ송중기님 고생하셨어요
Isabel,"송중기 진짜   넘 멋찌다 !!!! 연기도 잘해 , 잘생겼어, 목소리도 좋아 , 머리도 좋아  빈센조 찍고 이제 우리나라 최고 배우라는걸 인정 받은거 같다."
깜찍발랄,아디오스 아님?
깜찍발랄,일부러 저런겨?
깜찍발랄,아디다스라니 ㅋㅋ
디수,메이킹 언제나올까용
촘촘이,
Zero,빠리룻짜 뭐 이렇게 들려요 ㅋㅋㅋ 빨리웃자 😆
푼수마녀,빨리웃자 라는데요?
Zero,장한석 집 커튼 금괴로 보인다고 ㅋ
Zero,아 찌니 님이었구나 ㅋㅋㅋ 금괴 ㅋㅋㅋ
썬,곽동연 진짜 다시 봄~짱
Jinny,Zero 아닌뎅ㅋㅋㅋㅋ
Runner,40킬로그램금괴면 500개 20킬로그램 금괴면 1000개면 1조 2천억
